DAUID,POP2021,POPDENS,TOTLOWINC
24660690,628,13681.9,125
24660691,571,5386.8,120
24660692,610,11070.8,185
24660693,712,22111.8,160
24660694,590,20701.8,180
24660695,921,18834.4,290
24660696,482,21422.2,175
24660697,731,16280.6,285
24660698,247,21478.3,
24660699,488,7922.1,240
24660700,456,14709.7,170
24660701,485,34154.9,165
24660710,533,1063.9,55
24660711,625,2340.8,55
24660712,466,3352.5,40
24660713,503,4916.9,15
24660714,446,2524.1,30
24660715,499,6807.6,25
24660716,512,6539,35
24660717,658,8184.1,65
24660718,563,6766.8,40
24660719,377,6672.6,35
24660722,411,14320.6,65
24660723,551,14576.7,105
24660724,429,14205.3,140
24660725,619,6750.3,140
24660726,467,4610.1,45
24660727,681,7450.8,20
24660728,592,7851.5,60
24660729,320,13913,50
24660730,517,11337.7,50
24660731,335,13958.3,55
24660732,309,12117.6,50
24660733,531,9672.1,90
24660734,513,12954.5,80
24660735,584,9881.6,105
24660736,825,22237.2,215
24660737,631,19905.4,205
24660738,434,8394.6,125
24660741,1737,31871.6,585
24660742,337,14652.2,75
24660743,385,5039.3,90
24660744,1117,16354.3,220
24660745,470,5949.4,60
24660746,568,5451.1,25
24660748,635,10565.7,125
24660749,823,20782.8,265
24660750,625,8716.9,80
24660751,613,11743.3,115
24660752,471,5125.1,120
24660753,503,4714.2,225
24660754,581,5983.5,60
24660755,1313,13209.3,350
24660756,486,7084.5,30
24660757,626,12960.7,100
24660758,437,7534.5,125
24660759,734,4909.7,55
24660760,491,7769,20
24660761,528,8613.4,25
24660762,651,10382.8,160
24660763,568,11474.7,155
24660764,741,6269,215
24660765,653,11681.6,75
24660766,543,10482.6,75
24660767,485,4490.7,40
24660768,551,3834.4,50
24660769,688,3659.6,55
24660770,469,2673.9,30
24660771,723,2870.2,60
24660772,522,10077.2,75
24660773,527,10173.7,50
24660774,747,17291.7,135
24660775,729,12482.9,200
24660776,642,9277.5,80
24660777,411,7888.7,45
24660778,494,11278.5,50
24660779,621,10081.2,70
24660780,587,8030.1,55
24660781,481,4412.8,45
24660783,524,4168.7,40
24660784,507,3442,20
24660785,548,3225.4,40
24660786,447,3991.1,20
24660787,374,3357.3,15
24660788,863,7603.5,100
24660794,1164,5238.5,185
24660797,879,10341.2,130
24660798,602,6872.1,50
24660799,557,7024,30
24660800,582,7729.1,50
24660801,481,5138.9,15
24660802,614,4544.8,20
24660803,394,4523.5,15
24660804,645,769.4,45
24660805,577,11182.2,145
24660806,549,4171.7,20
24660807,587,3436.8,50
24660808,324,3737,20
24660809,528,5171.4,65
24660810,474,4624.4,30
24660812,1321,1299.7,160
24660813,640,13250.5,120
24660814,587,5800.4,90
24660815,544,9697,90
24660816,821,7917.1,235
24660818,749,1373.8,175
24660820,508,2703.6,40
24660821,650,2488.5,45
24660822,416,3891.5,125
24660823,488,11375.3,85
24660824,877,27665.6,330
24660825,553,5654.4,85
24660826,451,2289.3,25
24660827,688,4300,80
24660828,556,4254,50
24660829,567,5675.7,25
24660830,575,6046.3,15
24660832,416,4732.7,25
24660833,403,6306.7,30
24660834,569,5927.1,40
24660835,737,9132.6,170
24660836,515,7485.5,80
24660837,691,7087.2,100
24660838,706,6477.1,120
24660839,714,8814.8,145
24660840,688,7413.8,180
24660841,655,11552,135
24660842,759,17858.8,160
24660843,289,9475.4,20
24660844,511,17500,120
24660845,517,19148.1,150
24660846,634,8867.1,80
24660847,615,16757.5,175
24660848,466,22403.8,155
24660849,584,12532.2,85
24660850,402,8445.4,105
24660851,525,3316.5,40
24660852,537,15169.5,110
24660853,797,3857.7,120
24660854,834,3215.1,30
24660855,493,5124.7,15
24660856,824,6328.7,145
24660857,643,4860.2,25
24660858,476,3565.5,40
24660859,746,12774,140
24660860,756,40000,150
24660861,887,48206.5,295
24660862,492,19919,120
24660863,756,30119.5,180
24660864,876,15504.4,185
24660865,1062,10231.2,170
24660866,895,11343.5,115
24660868,606,7789.2,75
24660869,303,13060.3,60
24660870,494,2753.6,85
24660871,690,693.3,255
24660872,883,27507.8,280
24660874,541,236.5,90
24660876,514,3779.4,65
24660877,435,8025.8,70
24660878,221,12209.9,
24660879,510,14325.8,90
24660880,567,5187.6,60
24660881,281,14946.8,15
24660882,433,13323.1,45
24660883,734,7003.8,90
24660884,651,8668.4,85
24660885,582,6402.6,105
24660886,898,11381.5,170
24660887,394,13971.6,65
24660888,437,15607.1,75
24660889,425,16159.7,70
24660890,592,16174.9,80
24660891,457,16925.9,60
24660892,525,11931.8,60
24660893,508,508.7,45
24660894,764,16255.3,125
24660895,479,7033.8,50
24660896,429,13928.6,50
24660897,674,17552.1,60
24660898,275,14397.9,55
